dataset_name,is_swk,zero_shot_split_rule,zero_shot_used_split,zero_shot_status,n_rows_affinity,n_rows_zeroshot,affinity_spearman,zeroshot_spearman,delta_spearman_affinity_minus_zeroshot,affinity_pearson,zeroshot_pearson,delta_pearson_affinity_minus_zeroshot,affinity_top_hit,zeroshot_top_hit,delta_top_hit_affinity_minus_zeroshot,affinity_rmse,affinity_loss,zeroshot_avg_nll,zeroshot_avg_ppl,affinity_json,zeroshot_json
Hie2022_C143_Kd,False,all,all,ok,16,16.0,-0.23529411852359772,0.01764705882352941,-0.2529411773471271,0.021764487028121948,-0.05219126458776692,0.07395575161588887,0.6000000238418579,0.4,0.2000000238418579,9.845667839050293,4.951459884643555,0.08750210795551538,1.0914445659169243,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_C143_Kd.json,not_shipped
Hie2022_MEDI8852UCA_Kd,False,all,all,ok,20,20.0,-0.5353383421897888,-0.17894736842105263,-0.3563909737687362,-0.24866624176502228,-0.10117627967911,-0.14748996208591228,0.20000000298023224,0.2,2.980232227667301e-09,4.794158935546875,1.2258683443069458,0.08733193352818489,1.0912588454998162,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_MEDI8852UCA_Kd.json,not_shipped
Hie2022_MEDI8852_Kd,False,all,all,ok,15,15.0,0.3678571283817291,0.07142857142857142,0.29642855695315773,0.16571664810180664,-0.3536119373352287,0.5193285854370353,0.800000011920929,0.4,0.40000001192092893,4.662071228027344,1.1649242639541626,0.0873962700366974,1.0913290554299333,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_MEDI8852_Kd.json,not_shipped
Hie2022_REGN10987_Kd,False,all,all,ok,13,13.0,-0.28021979331970215,-0.10729033533674225,-0.1729294579829599,-0.20401790738105774,-0.2522289162248793,0.04821100884382157,0.699999988079071,0.4,0.299999988079071,7.949671745300293,3.236027240753174,0.08740964417274182,1.0913436515023285,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_REGN10987_Kd.json,not_shipped
Hie2022_S309_Kd,False,all,all,ok,19,19.0,-0.46315789222717285,0.3929824561403509,-0.8561403483675237,-0.47540345788002014,0.3016413704773592,-0.7770448283573794,0.4000000059604645,0.4,5.960464455334602e-09,4.671205520629883,1.1643998622894287,0.08749571207322572,1.0914375880144411,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_S309_Kd.json,not_shipped
Hie2022_mAb114_Kd,False,all,all,ok,20,20.0,0.20601503551006317,-0.17593984962406015,0.38195488513412335,0.4202938973903656,-0.07063396213217513,0.4909278595225407,0.6000000238418579,0.0,0.6000000238418579,1.8374849557876587,0.2475413978099823,0.08729657344520092,1.0912202593615525,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Hie2022_mAb114_Kd.json,not_shipped
Koenig2017_g6_Kd,True,test,test,ok,304,304.0,0.30636218190193176,-0.06939835241168126,0.375760534313613,0.38646742701530457,0.010651205506202445,0.3758162215091021,0.30000001192092896,0.0,0.30000001192092896,1.4120303392410278,0.1730668544769287,0.0880409136267477,1.0920404462348585,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Koenig2017_g6_Kd.json,not_shipped
Rosace2023_Adalimumab_Kd,False,all,all,ok,14,14.0,-0.12087913602590561,0.7788783591045872,-0.8997574951304929,-0.10614507645368576,0.7162993318973344,-0.8224444083510202,0.699999988079071,0.8,-0.100000011920929,18.882320404052734,17.93082618713379,0.0872998418552535,1.0912238259334197,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Rosace2023_Adalimumab_Kd.json,not_shipped
Rosace2023_CR3022_Kd,False,all,all,ok,6,6.0,-0.6000000238418579,0.4857142857142857,-1.0857143095561437,-0.534148097038269,0.31797136536629805,-0.8521194624045672,1.0,1.0,0.0,16.150115966796875,13.149572372436523,0.08722276240587234,1.091139718215602,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Rosace2023_CR3022_Kd.json,not_shipped
Rosace2023_Golimumab_Kd,False,all,all,ok,5,5.0,0.0,-0.1,0.1,-0.5340674519538879,-0.008264161325049126,-0.5258032906288388,1.0,1.0,0.0,17.29212188720703,15.044379234313965,0.09032891541719437,1.0945505913116684,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Rosace2023_Golimumab_Kd.json,not_shipped
Shanehsazzadeh2023_trastuzumab_multi_kd,False,all,all,ok,24,24.0,0.04260869696736336,-0.013043478260869565,0.055652175228232924,0.13360285758972168,0.0800654971926053,0.053537360397116374,0.20000000298023224,0.2,2.980232227667301e-09,1.611496090888977,0.2804669439792633,0.0873618411521117,1.0912914853657032,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Shanehsazzadeh2023_trastuzumab_multi_kd.json,not_shipped
Shanehsazzadeh2023_trastuzumab_zero_kd,True,test,test,ok,43,43.0,0.4405013620853424,0.36469344608879495,0.07580791599654746,0.5052962899208069,0.3949254645856883,0.1103708253351186,0.5,0.4,0.09999999999999998,1.026141881942749,0.12346266210079193,0.08747025804464208,1.0914098147076698,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Shanehsazzadeh2023_trastuzumab_zero_kd.json,not_shipped
Warszawski2019_d44_Kd,True,test,test,ok,206,206.0,0.246379554271698,-0.1470340837148907,0.3934136379865887,0.2344624102115631,-0.12449435381365105,0.35895676402521415,0.10000000149011612,0.0,0.10000000149011612,3.1009044647216797,0.5559638142585754,0.08820472766184112,1.0922224412472346,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+Warszawski2019_d44_Kd.json,not_shipped
gsk2023_AM14_Kd,False,all,all,ok,29,29.0,0.33448275923728943,-0.09410025936630922,0.42858301860359865,0.22138924896717072,-0.012384928376479021,0.23377417734364975,0.699999988079071,0.0,0.699999988079071,19.48798179626465,19.06229591369629,0.1195250413027303,1.1269885767463128,/home/wyy/my_work/adflip_affinity/artifacts/joint/SWK_joint_20260323_134723/best_macro_spearman+gsk2023_AM14_Kd.json,not_shipped
