epoch,step,train_kl,train_loss,train_mse,train_pearson,train_rmse,train_spearman,train_top_hit,val_kl,val_loss,val_mse,val_pearson,val_rmse,val_spearman,val_top_hit
0,41,,,,,,,,0.010831911116838455,0.27182072401046753,2.6098880767822266,0.329169899225235,1.3400722742080688,0.2817460298538208,0.7333333492279053
0,41,0.061042483896017075,0.4382036626338959,3.771611452102661,0.0881207063794136,1.759041428565979,0.07086168229579926,0.6476190090179443,,,,,,,
1,83,,,,,,,,0.010890538804233074,0.2336464673280716,2.2275593280792236,-0.08457794040441513,1.2247718572616577,-0.039682548493146896,0.7333333492279053
1,83,0.060429852455854416,0.22966553270816803,1.6923564672470093,0.22825758159160614,1.2706899642944336,0.17800454795360565,0.69047611951828,,,,,,,
2,125,,,,,,,,0.011841523461043835,0.20611576735973358,1.9427422285079956,-0.1158553883433342,1.154943823814392,-0.1944444626569748,0.6666666865348816
2,125,0.05860289931297302,0.22073400020599365,1.621310830116272,0.40451255440711975,1.24252188205719,0.3650793433189392,0.7190475463867188,,,,,,,
3,167,,,,,,,,0.0233194250613451,0.29361334443092346,2.70293927192688,-0.13907647132873535,1.443150520324707,-0.138888880610466,0.7000000476837158
3,167,0.054716963320970535,0.19325010478496552,1.3853312730789185,0.4741547107696533,1.150360345840454,0.42687079310417175,0.7666665315628052,,,,,,,
4,209,,,,,,,,0.02580493688583374,0.16676296293735504,1.4095802307128906,-0.05866007134318352,1.081889033317566,-0.1031746044754982,0.7000000476837158
4,209,0.04548941180109978,0.1759621500968933,1.3047276735305786,0.5543060302734375,1.1088073253631592,0.4869614541530609,0.7714284062385559,,,,,,,
5,251,,,,,,,,0.018665270879864693,0.15074044466018677,1.320751667022705,0.3860464096069336,1.0404342412948608,0.3611111342906952,0.7333333492279053
5,251,0.040428318083286285,0.14344699680805206,1.0301870107650757,0.6350186467170715,0.9859444499015808,0.5708616971969604,0.7809522747993469,,,,,,,
6,293,,,,,,,,0.02991325967013836,0.15328054130077362,1.2336726188659668,0.3775955140590668,1.0624254941940308,0.3690476417541504,0.699999988079071
6,293,0.03146688640117645,0.12541577219963074,0.9394887089729309,0.6994538307189941,0.9338778257369995,0.6604309678077698,0.8047617673873901,,,,,,,
7,335,,,,,,,,0.023615257814526558,0.15476346015930176,1.3114819526672363,0.05023874714970589,1.0607315301895142,0.03174604848027229,0.6666666865348816
7,335,0.030355703085660934,0.11462567746639252,0.8426997661590576,0.7196186780929565,0.8849347233772278,0.6400227546691895,0.8095236420631409,,,,,,,
8,377,,,,,,,,0.017574358731508255,0.1617034673690796,1.4412909746170044,0.41812649369239807,1.0731561183929443,0.3214285671710968,0.6666666865348816
8,377,0.027955330908298492,0.11343366652727127,0.8547834753990173,0.7495197057723999,0.8844332098960876,0.6768708229064941,0.8047617077827454,,,,,,,
9,419,,,,,,,,0.02111518196761608,0.16700758039951324,1.4589239358901978,0.056298691779375076,1.1059755086898804,-0.011904756538569927,0.6666666865348816
9,419,0.025957206264138222,0.10208521783351898,0.7612801790237427,0.7595802545547485,0.845713198184967,0.6984127759933472,0.8380950689315796,,,,,,,
